clae2,clae2_desc,letra,letra_desc,,
73,Servicios de publicidad e investigación de mercado,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
74,"Otras actividades profesionales, científicas y técnicas",M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
75,Servicios veterinarios,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
77,Alquiler y arrendamiento,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
78,Servicios de obtención y dotación de personal,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
79,"Agencias de viajes, servicios de reservas y actividades conexas",N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
80,Actividades de investigación y seguridad,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
81,Servicios a edificios y actividades de jardinería,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
82,Actividades administrativas y de apoyo a oficinas y empresas,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
84,"Administración pública, defensa y seguridad social",O," ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",,
85,Enseñanza,P, ENSEÑANZA,,
86,Servicios de salud humana,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
87,Actividades de atención en instituciones,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
88,Actividades de atención sin alojamiento,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
90,Servicios artísticos y de espectáculos,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
92,Juegos de azar y apuestas,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
93,"Actividades deportivas, recreativas y de entretenimiento",R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
94,Servicios de asociaciones,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
95,Reparación de computadoras y equipos de uso doméstico,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
96,Otros servicios personales,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
999,Otros sectores,T,OTROS,,
